Species,Litter_substrate,microsite,Month,initial_mass,Crucible_mass,Sample_cruc_mass,Ash_cruc_mass,nitrogen,carbon,C_N,Ash_free_mass_remaining
Salsola nollothensis,Shrub,Vegetated,8,3.9874,62.1,62.36,62.15,0.357232154,11.95983099,33.47915593,80.5954031
Salsola nollothensis,Shrub,Unvegetated,4,4.8829,17.25,17.49,17.39,0.493702338,18.2511182,36.96785857,50.91445612
Arthraerua leubnitziae ,Shrub,Vegetated,8,4.0139,16.69,16.94,16.8,0.471340168,19.46702848,41.30144176,56.25085085
Ectadium rotundifolium ,Shrub,Vegetated,4,5.0699,17.15,17.41,17.32,0.439039255,16.96154735,38.63332757,43.91805267
Salsola nollothensis,Shrub,Vegetated,8,4.2443,20.15,20.4,20.3,0.428069134,18.53641244,43.30238036,42.48548549
Arthraerua leubnitziae ,Shrub,Unvegetated,4,4.4428,16.31,16.56,16.42,0.755063133,27.1043324,35.89677634,62.26146146
Ectadium rotundifolium ,Shrub,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Shrub,Unvegetated,14,4.4602,17.99,18.24,18.04,0.357888486,13.6099402,38.02843827,89.29329329
Ectadium rotundifolium ,Shrub,Vegetated,4,4.2777,17.64,17.9,17.76,0.318930491,13.98488376,43.84931556,57.64206514
Ectadium rotundifolium ,Shrub,Vegetated,4,4.2395,17.98,18.26,18.06,0.436788974,19.38790211,44.38734326,75.92860718
Ectadium rotundifolium ,Shrub,Vegetated,4,4.0377,40.4,40.65,40.52,0.330885111,13.37102862,40.40988304,52.54264264
Salsola nollothensis,Shrub,Unvegetated,4,3.9149,18.76,19.02,18.82,0.519908739,19.92201788,38.31829782,75.36190036
Salsola nollothensis,Shrub,Vegetated,14,5.2759,51.8,52.04,51.91,0.330697587,16.14321006,48.81562697,81.94733195
Ectadium rotundifolium ,Shrub,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Shrub,Unvegetated,4,7.6294,17.42,17.8,17.68,0.483286409,20.26225726,41.9259819,60.29239766
Ectadium rotundifolium ,Shrub,Vegetated,4,4.2704,16.67,16.92,16.82,0.339156645,17.78413615,52.43634892,42.74674675
Salsola nollothensis,Shrub,Vegetated,4,4.0678,36.43,36.65,36.45,0.491729898,19.43533545,39.52441273,92.54254254
Ectadium rotundifolium ,Shrub,Unvegetated,4,5.9633,17.16,17.43,17.33,0.576873332,20.30956741,35.20628585,55.27101175
Arthraerua leubnitziae ,Shrub,Unvegetated,8,4.3745,38.29,38.55,38.43,0.318077445,18.44900773,58.00162198,50.52552553
Arthraerua leubnitziae ,Shrub,Unvegetated,14,4.101,38.29,38.54,38.35,0.409302552,18.65244716,45.57129453,77.996997
Salsola nollothensis,Shrub,Unvegetated,4,4.0114,17.15,17.4,17.24,0.508794012,16.77780365,32.97563109,64.24664665
Arthraerua leubnitziae ,Shrub,Unvegetated,14,4.8794,20.15,20.41,20.21,0.776564796,20.70052294,26.65653019,93.92854393
Salsola nollothensis,Shrub,Unvegetated,8,3.9766,40.4,40.66,40.48,0.615784235,22.69542508,36.85613205,68.89466389
Ectadium rotundifolium ,Shrub,Unvegetated,8,4.4427,17.99,18.24,18.12,0.440655647,15.9774974,36.25846507,53.36576577
Salsola nollothensis,Shrub,Unvegetated,8,7.1861,39.43,39.68,39.58,0.496099256,18.9413668,38.18059907,71.93293293
Ectadium rotundifolium ,Shrub,Vegetated,8,4.5329,17.24,17.49,17.38,0.405346512,14.98243195,36.96203498,49.91181181
Ectadium rotundifolium ,Shrub,Vegetated,14,5.2868,51.81,52.05,51.92,0.660127313,20.54215175,31.11846963,71.66374708
Ectadium rotundifolium ,Shrub,Vegetated,8,4.297,17.11,17.36,17.23,0.393655527,18.19383179,46.21764594,55.91691692
Arthraerua leubnitziae ,Shrub,Vegetated,4,4.1765,17.12,17.36,17.22,0.5938784,20.56324874,34.62535215,60.96825993
Ectadium rotundifolium ,Shrub,Unvegetated,4,3.9576,17.15,17.4,17.21,0.746097382,23.41887388,31.38849492,75.26966967
Salsola nollothensis,Shrub,Unvegetated,4,4.3812,17.25,17.5,17.38,0.384975857,15.69116459,40.7588276,52.62702703
Ectadium rotundifolium ,Shrub,Vegetated,4,5.4893,19.12,19.37,19.28,0.564828075,22.13649837,39.19156883,49.45315315
Arthraerua leubnitziae ,Shrub,Vegetated,4,5.3926,17.24,17.49,17.42,0.511214873,19.37273428,37.89548254,37.78598599
Arthraerua leubnitziae ,Shrub,Unvegetated,14,3.7386,16.38,16.64,16.55,0.480629367,12.2522391,25.49207338,32.38565489
Arthraerua leubnitziae ,Shrub,Unvegetated,8,3.8794,16.38,16.63,16.45,0.537253884,22.16000974,41.24681162,67.5992993
Salsola nollothensis,Shrub,Vegetated,14,3.4982,18.84,19.09,18.86,0.689000502,19.64199405,28.50795316,43.34334334
Ectadium rotundifolium ,Shrub,Unvegetated,4,4.196,39.43,39.68,39.55,0.487596722,19.21723734,39.4121545,54.6026026
Salsola nollothensis,Shrub,Vegetated,4,4.4333,36.44,36.7,36.56,0.499665715,17.27511242,34.57333954,36.98114781
Salsola nollothensis,Shrub,Unvegetated,4,4.4333,16.7,16.94,16.86,0.61685745,20.62489936,33.43543855,59.73877724
Arthraerua leubnitziae ,Shrub,Unvegetated,14,3.6437,18.78,19.02,18.85,0.582706173,17.46757785,29.97664804,64.58844261
Arthraerua leubnitziae ,Shrub,Unvegetated,8,4.3059,18.84,19.09,18.95,0.439189494,17.77871922,40.48074794,71.16199533
Ectadium rotundifolium ,Shrub,Vegetated,8,4.7552,53.52,53.8,53.68,0.517351198,14.55087641,28.12572284,50.999571
Ectadium rotundifolium ,Shrub,Vegetated,8,4.989,16.67,16.93,16.83,0.47450964,14.69784258,30.97480291,48.01917302
Arthraerua leubnitziae ,Shrub,Vegetated,8,4.8922,58.38,58.63,58.57,0.439799339,19.5512497,44.45493202,53.72941123
Ectadium rotundifolium ,Shrub,Vegetated,8,4.4585,39.43,39.68,39.59,0.489959028,16.00251203,32.66091883,40.16666667
Ectadium rotundifolium ,Shrub,Unvegetated,8,4.2059,18.83,19.08,18.94,0.306446731,10.56507013,34.47604119,68.81910757
Salsola nollothensis,Shrub,Vegetated,4,4.0918,17.15,17.39,17.29,0.310309078,13.96643311,45.00813574,42.66558225
Arthraerua leubnitziae ,Shrub,Unvegetated,8,3.6794,16.38,16.63,16.45,0.461652091,17.76871041,38.48939659,66.2954955
Ectadium rotundifolium ,Shrub,Unvegetated,14,4.9132,17.18,17.44,17.28,0.418200688,18.77556655,44.896068,75.66335566
Arthraerua leubnitziae ,Shrub,Vegetated,4,4.0909,53.63,53.88,53.76,0.413321935,13.1555659,31.8288598,49.13993994
Ectadium rotundifolium ,Shrub,Vegetated,14,3.3982,18.83,19.08,18.85,0.600950679,15.63581152,26.01846051,78.23683684
Arthraerua leubnitziae ,Shrub,Unvegetated,4,4.3179,16.67,16.92,16.78,0.405393959,16.98761432,41.90396508,60.51111111
Ectadium rotundifolium ,Shrub,Unvegetated,14,6.88,18.83,19.08,18.95,0.445135476,18.0299609,40.5044349,89.52952953
Arthraerua leubnitziae ,Shrub,Unvegetated,14,5.0567,58.39,58.65,58.53,0.417184281,16.88129619,40.46484239,58.4049434
Ectadium rotundifolium ,Shrub,Unvegetated,8,4.8233,38.3,38.54,38.45,0.408646462,18.8291852,46.07695636,45.2637012
Arthraerua leubnitziae ,Shrub,Unvegetated,8,4.4359,18.82,19.07,18.93,0.493313171,16.71247404,33.87802116,63.22872873
Salsola nollothensis,Shrub,Vegetated,14,6.2662,17.99,18.24,18.1,0.476745736,17.90771038,37.56239236,87.81461461
Salsola nollothensis,Shrub,Vegetated,8,3.568,17.11,17.36,17.16,0.712907918,19.41975634,27.24020291,71.43143143
Arthraerua leubnitziae ,Shrub,Vegetated,14,4.5663,16.37,16.62,16.48,0.584891448,15.88148707,27.15287962,63.99219219
Salsola nollothensis,Shrub,Vegetated,4,4.0956,17.18,17.43,17.22,0.744365717,24.58660278,33.03027293,86.09369369
Arthraerua leubnitziae ,Shrub,Vegetated,14,3.802,17.24,17.5,17.3,0.364788497,15.11050193,41.42263821,73.18857319
Arthraerua leubnitziae ,Shrub,Vegetated,8,4.942,58.37,58.62,58.56,0.583147303,19.06475013,32.69285485,29.68168168
Salsola nollothensis,Shrub,Unvegetated,8,3.8804,39.44,39.69,39.51,0.421817213,15.90750182,37.71183665,68.93351685
Ectadium rotundifolium ,Shrub,Vegetated,8,3.6543,17.66,17.91,17.7,0.437610369,19.21901192,43.9180908,78.37775275
Ectadium rotundifolium ,Shrub,Unvegetated,4,4.1455,42.29,42.69,42.38,0.521074201,17.71708576,34.00108031,80.39946196
Ectadium rotundifolium ,Shrub,Unvegetated,14,6.1866,19.12,19.37,19.21,0.404974511,15.0155947,37.077876,99.08468468
Salsola nollothensis,Shrub,Vegetated,4,3.6054,17.42,17.66,17.5,0.637673675,22.26070394,34.90924092,60.15015015
Arthraerua leubnitziae ,Shrub,Unvegetated,14,4.4125,17.99,18.24,18.06,0.617482424,17.56307862,28.44304214,79.5045045
Ectadium rotundifolium ,Shrub,Vegetated,8,4.1816,53.59,53.84,53.71,0.326458535,13.01569174,39.86935664,54.41521522
Ectadium rotundifolium ,Shrub,Vegetated,4,4.1408,53.5,53.76,53.55,0.6477693,18.46562974,28.50649104,83.6960037
Ectadium rotundifolium ,Shrub,Vegetated,8,3.6451,17.65,17.9,17.69,0.452553893,16.36290257,36.15680434,45.60935936
Arthraerua leubnitziae ,Shrub,Unvegetated,14,5.0587,58.38,58.66,58.54,0.551511012,19.84512429,35.98318776,64.58844261
Ectadium rotundifolium ,Shrub,Unvegetated,14,6.0218,16.67,16.92,16.82,0.346349915,14.87401406,42.94504896,60.27827828
Ectadium rotundifolium ,Shrub,Unvegetated,4,3.9307,40.4,40.66,40.47,0.444857229,18.29833032,41.13304032,71.88274813
Ectadium rotundifolium ,Shrub,Vegetated,14,3.0135,17.18,17.44,17.26,0.527971212,15.90989545,30.1340207,52.20893971
Ectadium rotundifolium ,Shrub,Vegetated,4,4.1055,17.24,17.49,17.37,0.474944191,21.07239419,44.36814808,49.31531532
Arthraerua leubnitziae ,Grass,Vegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Salsola nollothensis,Grass,Vegetated,8,6.5728,38.29,38.54,38.49,0.531369477,43.84417308,82.5116515,32.99598394
Salsola nollothensis,Grass,Vegetated,14,5.9153,17.24,17.5,17.34,0.443795049,43.60579163,98.25659788,91.37009577
Salsola nollothensis,Grass,Vegetated,8,4.7713,62.11,62.36,62.21,0.557387966,45.18028637,81.05716146,71.85692771
Salsola nollothensis,Grass,Vegetated,4,4.1621,17.11,17.37,17.18,0.620160216,52.17904995,84.1380156,96.112751
Salsola nollothensis,Shrub,Vegetated,14,4.7319,39.5,39.75,39.66,0.626030241,52.17904995,84.1380156,42.62972973
Salsola nollothensis,Grass,Vegetated,8,4.2257,17.25,17.51,17.28,0.550037214,48.19090501,87.61389916,93.82829395
Salsola nollothensis,Shrub,Vegetated,4,3.4335,19.12,19.38,19.17,0.538667346,19.11816156,35.49159182,69.39968815
Salsola nollothensis,Grass,Vegetated,14,6.0194,17.14,17.4,17.26,0.535811658,47.05202217,87.81448012,81.35580785
Salsola nollothensis,Shrub,Unvegetated,8,5.1036,62.1,62.36,62.26,0.491231197,18.56087262,37.78439304,49.12219912
Salsola nollothensis,Grass,Unvegetated,8,4.8522,17.18,17.42,17.28,0.493875353,45.91339304,92.9655485,71.04543173
Salsola nollothensis,Grass,Unvegetated,8,3.642,18.76,19.02,18.82,0.513865168,46.09585785,89.70418847,70.3197405
Arthraerua leubnitziae ,Grass,Vegetated,4,4.8686,53.63,53.88,53.72,0.533326152,45.10361664,84.57042,78.21044177
Salsola nollothensis,Grass,Vegetated,4,4.0882,17.15,17.4,17.17,0.460400345,46.78294239,101.6136129,94.4062249
Salsola nollothensis,Grass,Vegetated,4,4.0531,17.25,17.51,17.32,0.392128251,31.86441446,81.26018554,74.34439682
Salsola nollothensis,Grass,Vegetated,4,4.062,17.11,17.37,17.18,0.515134362,47.03735801,91.31085296,100.8303213
Arthraerua leubnitziae ,Grass,Vegetated,8,3.198,36.44,36.69,36.45,0.551147759,41.54509616,75.37923444,77.06024096
Salsola nollothensis,Shrub,Vegetated,14,4.6319,39.51,39.76,39.67,0.47102985,17.94375999,38.09474072,73.10690691
Salsola nollothensis,Grass,Vegetated,4,4.0092,16.38,16.64,16.39,0.552099655,46.62564514,84.45150199,96.76204819
Ectadium rotundifolium ,Grass,Unvegetated,14,4.3677,20.15,20.39,20.18,0.625236995,44.07194964,70.48839083,95.92714608
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Shrub,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Unvegetated,8,5.2305,17.99,18.23,18.16,0.513759401,44.01572856,85.67381626,38.29223143
Ectadium rotundifolium ,Grass,Unvegetated,8,4.2059,17.11,17.37,17.2,0.422347372,42.90666012,101.5909249,59.11907631
Ectadium rotundifolium ,Grass,Unvegetated,4,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Unvegetated,4,3.5341,16.38,16.63,16.4,0.512309148,50.88422602,99.32328215,81.61074297
Salsola nollothensis,Grass,Vegetated,8,4.074,17.24,17.49,17.25,0.420851226,46.31170944,110.0429476,98.1686747
Salsola nollothensis,Grass,Unvegetated,4,3.5294,36.44,36.69,36.47,0.74339122,48.87111659,65.74077722,77.95863454
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Vegetated,8,3.0586,51.86,52.11,51.88,0.681759682,48.32038944,70.8759857,70.63032129
Arthraerua leubnitziae ,Grass,Vegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Vegetated,8,3.1884,58.39,58.64,58.4,0.542666421,51.36498705,94.65296745,76.82891566
Ectadium rotundifolium ,Grass,Vegetated,4,4.9267,16.69,16.94,16.85,0.74812097,48.28042921,64.53559136,44.51837349
Ectadium rotundifolium ,Grass,Vegetated,8,3.9141,17.11,17.36,17.17,0.636778794,50.49062495,79.2906822,74.66656627
Arthraerua leubnitziae ,Grass,Unvegetated,8,3.0335,42.42,42.68,42.44,0.544645194,43.00601296,78.96152111,70.2849861
Ectadium rotundifolium ,Grass,Unvegetated,4,3.8151,16.31,16.55,16.33,0.62427874,45.74393133,73.27485049,87.78049699
Ectadium rotundifolium ,Grass,Vegetated,4,NA,NA,NA,NA,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Vegetated,8,4.4663,39.5,39.75,39.63,0.582917559,34.89537333,59.86330796,53.81084337
Arthraerua leubnitziae ,Grass,Vegetated,8,3.7082,16.38,16.62,16.4,0.851548055,57.06462963,67.01281192,85.3208668
Arthraerua leubnitziae ,Grass,Vegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Unvegetated,4,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Vegetated,8,3.1407,16.32,16.56,16.33,0.475291614,56.30867172,60.40438379,75.54813002
Salsola nollothensis,Grass,Vegetated,4,4.1621,18.84,19.09,18.86,0.556228255,48.82806051,65.75543179,76.34374035
Arthraerua leubnitziae ,Grass,Vegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Salsola nollothensis,Grass,Unvegetated,14,3.3115,58.39,58.64,58.45,0.535185694,42.0218674,88.41281045,63.17118474
Arthraerua leubnitziae ,Grass,Unvegetated,4,4.932,17.65,17.9,17.79,0.854588608,17.69995046,31.82137964,54.46987952
Ectadium rotundifolium ,Grass,Vegetated,4,4.0909,18.77,19.02,18.85,0.714192253,42.56673626,59.60122933,69.82459839
Arthraerua leubnitziae ,Grass,Unvegetated,8,3.0451,20.15,20.4,20.18,0.468341778,39.79133434,84.96217132,67.26124498
Ectadium rotundifolium ,Grass,Vegetated,8,3.5295,51.8,52.06,51.88,0.602801814,40.71427741,67.54173009,61.33283133
Arthraerua leubnitziae ,Grass,Vegetated,4,4.9452,17.25,17.5,17.37,0.367376093,45.10447248,122.7746532,64.54578313
Ectadium rotundifolium ,Grass,Unvegetated,8,NA,NA,NA,NA,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Vegetated,4,3.2638,51.92,52.17,51.96,0.378814366,43.283496,114.2604395,68.81506024
Ectadium rotundifolium ,Grass,Unvegetated,8,NA,NA,NA,NA,NA,NA,NA,76.3117284
Arthraerua leubnitziae ,Grass,Vegetated,8,3.8501,36.42,36.71,36.49,0.544983033,40.05857727,73.504265,73.31238748
Arthraerua leubnitziae ,Grass,Vegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Vegetated,4,3.776,17.14,17.39,17.23,0.481469247,37.61104924,78.11724107,60.65863454
Arthraerua leubnitziae ,Grass,Unvegetated,8,4.0829,17.99,18.24,18.09,0.529973316,43.90971415,82.85268866,61.48945783
Arthraerua leubnitziae ,Grass,Unvegetated,4,3.6113,38.28,38.53,38.29,0.616846276,42.43523426,68.79385664,87.01927711
Arthraerua leubnitziae ,Grass,Vegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Unvegetated,4,4.4988,18.08,18.34,18.22,0.55106414,42.44123543,77.01687035,70.76666667
Ectadium rotundifolium ,Grass,Unvegetated,4,4.691,17.14,17.39,17.26,0.40830291,42.78744625,104.7933904,61.22791165
Arthraerua leubnitziae ,Grass,Vegetated,4,4.7452,17.26,17.51,17.38,0.547444433,42.79468576,78.17174337,82.01184739
Ectadium rotundifolium ,Grass,Unvegetated,4,3.3038,39.51,39.77,39.55,0.473940257,41.12683458,86.77641107,70.00857597
Ectadium rotundifolium ,Grass,Unvegetated,4,4.4979,18.08,18.34,18.22,0.399084724,42.48714921,106.4614772,52.10727525
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Vegetated,8,3.9782,58.4,58.63,58.49,0.6578325,41.32701379,62.82300405,60.78094989
Arthraerua leubnitziae ,Grass,Vegetated,8,5.2318,18.82,19.09,19.01,0.452648739,41.38359289,91.42540193,38.90971293
Ectadium rotundifolium ,Grass,Vegetated,8,3.5634,18.71,19.02,18.75,0.400626011,40.23954512,100.4416689,77.90176836
Salsola nollothensis,Grass,Vegetated,14,7.3155,38.3,38.54,38.43,0.497633098,40.19758265,80.77755038,84.16007781
Arthraerua leubnitziae ,Grass,Unvegetated,8,4.4536,17.66,17.89,17.77,0.369208363,36.16633299,97.95642955,83.69300117
Ectadium rotundifolium ,Grass,Unvegetated,8,NA,NA,NA,NA,NA,NA,NA,NA
Salsola nollothensis,Grass,Vegetated,8,3.7636,18.76,19.02,18.84,0.499622202,47.21246886,94.49633871,83.44191985
Salsola nollothensis,Grass,Vegetated,8,3.4167,51.84,52.1,51.84,0.465756426,46.7187954,100.3073554,85.76054217
Salsola nollothensis,Grass,Unvegetated,8,3.9428,16.37,16.62,16.41,0.54266846,48.67255193,89.69113837,83.1313253
Arthraerua leubnitziae ,Grass,Unvegetated,8,4.536,17.65,17.88,17.76,0.501764315,50.08698545,99.82173697,59.40282871
Ectadium rotundifolium ,Grass,Vegetated,4,NA,NA,NA,NA,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Unvegetated,8,4.808,16.38,16.63,16.48,0.526041588,30.62070365,81.0003327,72.40963855
Salsola nollothensis,Grass,Unvegetated,4,4.0853,18.71,19.02,18.78,0.399350944,51.48833862,128.9300537,79.38787408
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Vegetated,8,5.1729,62.1,62.35,62.29,0.541750412,50.04897343,92.38382166,31.16204819
Ectadium rotundifolium ,Grass,Vegetated,8,3.6451,53.57,53.81,53.69,0.635493328,47.3726812,74.54473416,76.85451807
Ectadium rotundifolium ,Grass,Unvegetated,14,3.5952,17.13,17.39,17.2,0.597241322,47.11445403,78.88679549,65.94531974
Salsola nollothensis,Grass,Unvegetated,8,4.0863,17.99,18.23,18.12,0.424699273,50.5249577,118.9664332,76.80060241
Arthraerua leubnitziae ,Grass,Vegetated,4,3.1901,17.42,17.68,17.44,0.505181494,47.41855021,93.86438494,73.91334569
Salsola nollothensis,Grass,Unvegetated,14,5.2065,18.71,19.02,18.75,1.784889608,50.20532311,28.12797099,38.11652861
Arthraerua leubnitziae ,Grass,Unvegetated,14,3.3416,42.42,42.69,42.43,0.421741118,47.99996737,113.8138192,NA
